from,to
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/ICD-10
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Angst
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Psychische_St%C3%B6rung
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Altgriechische_Sprache
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Angst
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Affekt
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Karl_Jaspers
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Psychoanalyse
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Abwehrmechanismus
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Volker_Faust
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Pathologie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Krankheitsverlauf#Einteilung_nach_zeitlichem_Verlauf
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Weltgesundheitsorganisation
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Liste_der_psychischen_und_Verhaltensst%C3%B6rungen_nach_ICD-10
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Internationale_statistische_Klassifikation_der_Krankheiten_und_verwandter_Gesundheitsprobleme
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/ICD-10
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Panik
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Liste_der_psychischen_und_Verhaltensst%C3%B6rungen_nach_ICD-10#F30–F39_Affektive_Störungen
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,"https://de.wikipedia.org/wiki/Liste_der_psychischen_und_Verhaltensst%C3%B6rungen_nach_ICD-10#F40–F48_Neurotische,_Belastungs-_und_somatoforme_Störungen"
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Agoraphobie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Soziale_Phobie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Panikst%C3%B6rung
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Dysmorphophobie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Hypochondrie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/DSM-5
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Furcht
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Agoraphobie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Soziale_Phobie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Paruresis
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Spezifische_Phobie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Zoophobie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Spinnentiere
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Arachnophobie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Insekten
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Haushund
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Kynophobie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Ophidiophobie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Herpetophobie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Ailurophobie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Maulw%C3%BCrfe
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Hausmaus
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Flugangst
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Tunnel
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Aufzugsanlage
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Donner
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Wasser
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Wald
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Natur
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Blut
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Blutphobie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Spritze_(Medizin)
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Trypanophobie
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Panikst%C3%B6rung
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Generalisierte_Angstst%C3%B6rung
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Zwangsst%C3%B6rung
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Zwangshandlung
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Akute_Belastungsreaktion
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Posttraumatische_Belastungsst%C3%B6rung
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Anpassungsst%C3%B6rung
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Psychiater
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Psychologischer_Psychotherapeut
https://de.wikipedia.org/wiki/Angstst%C3%B6rung,https://de.wikipedia.org/wiki/Elektrokardiogramm
