from,to
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/ICD-10
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Affektive_St%C3%B6rung
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Schizophrenie
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Schizoaffektive_St%C3%B6rung
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Bipolare_St%C3%B6rung
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Angstst%C3%B6rung
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Postpartale_Stimmungskrisen
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/St%C3%B6rung_des_Sozialverhaltens
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Latein
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Psychische_St%C3%B6rung
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Krankheit
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Psychiatrie
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Affektive_St%C3%B6rung
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Stimmung_(Psychologie)
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Gr%C3%BCbeln
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Verzweiflung
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Freude
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Lust
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Belastbarkeit_(Psychologie)
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Empathie
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Interesse_(Psychologie)
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Lebensfreude
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Lebensqualit%C3%A4t
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/%C3%84tiologie_(Medizin)
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Psychotherapie
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Antidepressivum
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Willenskraft
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Selbstdisziplin
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Trauer
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Dysphorie
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Deprimiert
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Stimmung_(Psychologie)
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Arbeitsunf%C3%A4higkeit
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Weltgesundheitsorganisation
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Metaanalyse
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Arbeitsunf%C3%A4higkeit
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Techniker_Krankenkasse
https://de.wikipedia.org/wiki/Depression,"https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_f%C3%BCr_Psychiatrie_und_Psychotherapie,_Psychosomatik_und_Nervenheilkunde"
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Medizinische_Leitlinie
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Deprimiert
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Anhedonie
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Antriebsst%C3%B6rung
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Konzentration_(Psychologie)
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Selbstwert
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Insuffizienzgef%C3%BChl
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Schuldgef%C3%BChl
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Minderwertigkeitskomplex
https://de.wikipedia.org/wiki/Depression,https://de.wikipedia.org/wiki/Agitation_(Medizin)
